id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	34.642646454	1.443443602	0	0	24	24	1.443443602	-1.443443602	120	100	0.833333333	24	16	0.666666667	100	34	0.340000000	100	7588.009551436	7587.316698507	76	69	0.907894737
case_001	18	24	25.412613463	1.058858894	0	0	24	24	1.058858894	-1.058858894	120	100	0.833333333	24	17	0.708333333	100	22	0.220000000	100	7585.297744964	7584.789492695	76	74	0.973684211
case_002	19	24	38.024021074	1.584334211	0	0	24	24	1.584334211	-1.584334211	120	96	0.800000000	24	15	0.625000000	96	20	0.208333333	96	7487.886285883	7487.094118777	72	71	0.986111111
case_003	19	24	39.991599548	1.666316648	0	0	24	24	1.666316648	-1.666316648	120	97	0.808333333	24	12	0.500000000	97	23	0.237113402	97	7513.090890992	7512.266321929	73	73	1.000000000
case_004	15	24	48.932720883	2.038863370	0	0	24	24	2.038863370	-2.038863370	120	97	0.808333333	24	12	0.500000000	97	21	0.216494845	97	7514.527673242	7513.518751162	73	71	0.972602740
case_005	14	24	22.798687679	0.949945320	0	0	24	24	0.949945320	-0.949945320	120	96	0.800000000	24	20	0.833333333	96	22	0.229166667	96	7485.547882552	7485.072909892	72	71	0.986111111
case_006	18	24	48.516745859	2.021531077	0	0	24	24	2.021531077	-2.021531077	120	98	0.816666667	24	13	0.541666667	98	23	0.234693878	98	7539.626079816	7538.635942145	74	72	0.972972973
case_007	14	24	20.102662898	0.837610954	0	0	24	24	0.837610954	-0.837610954	120	119	0.991666667	24	20	0.833333333	119	74	0.621848739	119	7977.391043881	7977.053184001	95	89	0.936842105
case_008	20	24	41.577448619	1.732393692	0	0	24	24	1.732393692	-1.732393692	120	97	0.808333333	24	15	0.625000000	97	21	0.216494845	97	7513.061282603	7512.204015621	73	71	0.972602740
case_009	17	24	35.335004715	1.472291863	0	0	24	24	1.472291863	-1.472291863	120	106	0.883333333	24	15	0.625000000	106	32	0.301886792	106	7725.997250157	7725.330551955	82	77	0.939024390
case_010	26	24	44.065023764	1.836042657	0	0	24	24	1.836042657	-1.836042657	120	96	0.800000000	24	13	0.541666667	96	20	0.208333333	96	7488.193844654	7487.275823326	72	70	0.972222222
case_011	21	24	51.129024555	2.130376023	0	0	24	24	2.130376023	-2.130376023	120	98	0.816666667	24	13	0.541666667	98	19	0.193877551	98	7539.731818677	7538.688369197	74	72	0.972972973
case_012	22	24	46.323818379	1.930159099	0	0	24	24	1.930159099	-1.930159099	120	100	0.833333333	24	16	0.666666667	100	19	0.190000000	100	7588.313884065	7587.387407697	76	74	0.973684211
case_013	22	24	44.327995041	1.846999793	0	0	24	24	1.846999793	-1.846999793	120	97	0.808333333	24	16	0.666666667	97	20	0.206185567	97	7512.615126466	7511.701147186	73	69	0.945205479
case_014	21	24	54.814671463	2.283944644	0	0	24	24	2.283944644	-2.283944644	120	98	0.816666667	24	14	0.583333333	98	18	0.183673469	98	7540.847573536	7539.728906772	74	72	0.972972973
case_015	22	24	32.932522264	1.372188428	0	0	24	24	1.372188428	-1.372188428	120	96	0.800000000	24	19	0.791666667	96	20	0.208333333	96	7486.352406517	7485.666312304	72	70	0.972222222
case_016	19	24	38.016278672	1.584011611	0	0	24	24	1.584011611	-1.584011611	120	97	0.808333333	24	14	0.583333333	97	23	0.237113402	97	7512.785618423	7512.001777626	73	70	0.958904110
case_017	26	24	55.391154159	2.307964757	0	0	24	24	2.307964757	-2.307964757	120	96	0.800000000	24	14	0.583333333	96	17	0.177083333	96	7489.555641748	7488.401659370	72	70	0.972222222
case_018	25	24	39.203231401	1.633467975	0	0	24	24	1.633467975	-1.633467975	120	115	0.958333333	24	14	0.583333333	115	55	0.478260870	115	7905.277147446	7904.595352117	91	80	0.879120879
case_019	19	24	47.002517973	1.958438249	0	0	24	24	1.958438249	-1.958438249	120	98	0.816666667	24	17	0.708333333	98	19	0.193877551	98	7540.898249577	7539.939014517	74	71	0.959459459
